metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.93491,0.89957,0.95642,0.62394,1.24966,0.56501,1.15539,0,345.78962111473083,False,1,f69d2_00008,2023-05-13_18-40-01,1683974401,345.78962111473083,12148,DaveJammin_TUF,127.0.0.1,345.78962111473083,1
0.94288,0.88295,0.95197,0.61356,1.27727,0.58987,1.16002,1,123.68514347076416,False,2,f69d2_00008,2023-05-13_18-42-05,1683974525,469.474764585495,12148,DaveJammin_TUF,127.0.0.1,469.474764585495,2
0.94121,0.90544,0.95769,0.58544,1.35254,0.6019,1.21764,2,117.3585250377655,False,3,f69d2_00008,2023-05-13_18-44-02,1683974642,586.8332896232605,12148,DaveJammin_TUF,127.0.0.1,586.8332896232605,3
0.93346,0.90698,0.96263,0.60727,1.31611,0.58696,1.18474,3,103.06281352043152,False,4,f69d2_00008,2023-05-13_18-45-45,1683974745,689.896103143692,12148,DaveJammin_TUF,127.0.0.1,689.896103143692,4
0.95714,0.90743,0.96472,0.6476,1.21203,0.56374,1.13326,4,126.26888871192932,False,5,f69d2_00008,2023-05-13_18-47-52,1683974872,816.1649918556213,12148,DaveJammin_TUF,127.0.0.1,816.1649918556213,5
0.95849,0.90902,0.97057,0.65794,1.18587,0.53228,1.11481,5,120.47467803955078,False,6,f69d2_00008,2023-05-13_18-49-52,1683974992,936.6396698951721,12148,DaveJammin_TUF,127.0.0.1,936.6396698951721,6
0.95763,0.92435,0.97558,0.66663,1.16623,0.5015,1.10769,6,119.26154923439026,False,7,f69d2_00008,2023-05-13_18-51-51,1683975111,1055.9012191295624,12148,DaveJammin_TUF,127.0.0.1,1055.9012191295624,7
0.96323,0.92154,0.97622,0.67043,1.15169,0.4878,1.10411,7,116.31190752983093,False,8,f69d2_00008,2023-05-13_18-53-48,1683975228,1172.2131266593933,12148,DaveJammin_TUF,127.0.0.1,1172.2131266593933,8
0.95884,0.92742,0.97744,0.67538,1.14774,0.47782,1.10053,8,103.16354393959045,False,9,f69d2_00008,2023-05-13_18-55-31,1683975331,1275.3766705989838,12148,DaveJammin_TUF,127.0.0.1,1275.3766705989838,9
0.9632,0.92998,0.97707,0.6786,1.1397,0.46343,1.09466,9,132.28564524650574,False,10,f69d2_00008,2023-05-13_18-57-43,1683975463,1407.6623158454895,12148,DaveJammin_TUF,127.0.0.1,1407.6623158454895,10
0.9626885365002119,0.9299769997444416,0.9770722577220508,0.6785943474827906,,,,9,26.03046941757202,False,11,f69d2_00008,2023-05-13_18-58-09,1683975489,1433.6927852630615,12148,DaveJammin_TUF,127.0.0.1,1433.6927852630615,11
