metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.91814,0.82775,0.91652,0.54309,1.41254,0.82023,1.24046,0,423.6944181919098,False,1,6f88c_00001,2023-05-13_22-12-19,1683987139,423.6944181919098,23060,DaveJammin_TUF,127.0.0.1,423.6944181919098,1
0.91354,0.83712,0.91947,0.56609,1.30478,0.89045,1.19743,1,80.51105642318726,False,2,6f88c_00001,2023-05-13_22-13-40,1683987220,504.20547461509705,23060,DaveJammin_TUF,127.0.0.1,504.20547461509705,2
0.90114,0.84999,0.92994,0.54485,1.42971,1.24775,1.26319,2,82.8012011051178,False,3,6f88c_00001,2023-05-13_22-15-02,1683987302,587.0066757202148,23060,DaveJammin_TUF,127.0.0.1,587.0066757202148,3
0.93561,0.88602,0.95019,0.55573,1.42247,0.72915,1.23103,3,97.83452367782593,False,4,6f88c_00001,2023-05-13_22-16-40,1683987400,684.8411993980408,23060,DaveJammin_TUF,127.0.0.1,684.8411993980408,4
0.91787,0.87391,0.93819,0.58948,1.30665,0.71013,1.1818,4,104.36330103874207,False,5,6f88c_00001,2023-05-13_22-18-25,1683987505,789.2045004367828,23060,DaveJammin_TUF,127.0.0.1,789.2045004367828,5
0.94932,0.89854,0.9621,0.58061,1.39005,0.667,1.21489,5,95.11566853523254,False,6,6f88c_00001,2023-05-13_22-20-00,1683987600,884.3201689720154,23060,DaveJammin_TUF,127.0.0.1,884.3201689720154,6
0.95367,0.91542,0.96928,0.63923,1.21836,0.60225,1.13176,6,96.14364409446716,False,7,6f88c_00001,2023-05-13_22-21-36,1683987696,980.4638130664825,23060,DaveJammin_TUF,127.0.0.1,980.4638130664825,7
0.9534,0.90977,0.97217,0.64618,1.18714,0.55444,1.11589,7,97.86636137962341,False,8,6f88c_00001,2023-05-13_22-23-14,1683987794,1078.330174446106,23060,DaveJammin_TUF,127.0.0.1,1078.330174446106,8
0.95892,0.91234,0.97299,0.653,1.19012,0.54476,1.12102,8,89.80404567718506,False,9,6f88c_00001,2023-05-13_22-24-44,1683987884,1168.134220123291,23060,DaveJammin_TUF,127.0.0.1,1168.134220123291,9
0.95402,0.93407,0.97768,0.64815,1.20292,0.51489,1.11813,9,94.8788230419159,False,10,6f88c_00001,2023-05-13_22-26-18,1683987978,1263.013043165207,23060,DaveJammin_TUF,127.0.0.1,1263.013043165207,10
0.9589147445710944,0.9125897556130114,0.9729254976479096,0.65297125724217,,,,9,23.56954836845398,False,11,6f88c_00001,2023-05-13_22-26-42,1683988002,1286.582591533661,23060,DaveJammin_TUF,127.0.0.1,1286.582591533661,11
