metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.95455,0.93151,0.97753,0.65127,1.192,0.55367,1.15063,0,405.92069840431213,False,1,f2541_00002,2023-05-14_02-26-25,1684002385,405.92069840431213,4364,DaveJammin_TUF,127.0.0.1,405.92069840431213,1
0.95899,0.93233,0.97996,0.65284,1.18389,0.55306,1.13377,1,72.42441082000732,False,2,f2541_00002,2023-05-14_02-27-38,1684002458,478.34510922431946,4364,DaveJammin_TUF,127.0.0.1,478.34510922431946,2
0.94593,0.93125,0.97594,0.64971,1.18398,0.57465,1.13374,2,72.59017634391785,False,3,f2541_00002,2023-05-14_02-28-50,1684002530,550.9352855682373,4364,DaveJammin_TUF,127.0.0.1,550.9352855682373,3
0.94719,0.93971,0.97758,0.61469,1.28278,0.58483,1.1902,3,72.55110192298889,False,4,f2541_00002,2023-05-14_02-30-03,1684002603,623.4863874912262,4364,DaveJammin_TUF,127.0.0.1,623.4863874912262,4
0.95319,0.92998,0.9763,0.65275,1.18251,0.55894,1.12902,4,86.88511180877686,False,5,f2541_00002,2023-05-14_02-31-30,1684002690,710.371499300003,4364,DaveJammin_TUF,127.0.0.1,710.371499300003,5
0.95702,0.93328,0.97887,0.66297,1.16336,0.53302,1.11925,5,84.682856798172,False,6,f2541_00002,2023-05-14_02-32-54,1684002774,795.054356098175,4364,DaveJammin_TUF,127.0.0.1,795.054356098175,6
0.94831,0.93773,0.97756,0.66277,1.16375,0.53231,1.1194,6,86.05313611030579,False,7,f2541_00002,2023-05-14_02-34-20,1684002860,881.1074922084808,4364,DaveJammin_TUF,127.0.0.1,881.1074922084808,7
0.95263,0.93539,0.97948,0.65659,1.17465,0.52736,1.12583,7,86.00491976737976,False,8,f2541_00002,2023-05-14_02-35-46,1684002946,967.1124119758606,4364,DaveJammin_TUF,127.0.0.1,967.1124119758606,8
0.96345,0.93381,0.97962,0.66496,1.163,0.513,1.11808,8,86.95385885238647,False,9,f2541_00002,2023-05-14_02-37-13,1684003033,1054.066270828247,4364,DaveJammin_TUF,127.0.0.1,1054.066270828247,9
0.96233,0.93371,0.97916,0.65658,1.18244,0.5159,1.1266,9,93.49194645881653,False,10,f2541_00002,2023-05-14_02-38-47,1684003127,1147.5582172870636,4364,DaveJammin_TUF,127.0.0.1,1147.5582172870636,10
0.9637044394404026,0.9340659340659341,0.9797239504121475,0.6650281739374131,,,,9,23.113152265548706,False,11,f2541_00002,2023-05-14_02-39-10,1684003150,1170.6713695526123,4364,DaveJammin_TUF,127.0.0.1,1170.6713695526123,11
