                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5376,                 3.3552,                 1.3187,                 0.0083,                0.89957,                0.24973,                0.13421,                 1.3141,                  3.008,                 1.1757,               0.066891,             8.0502e-06,             8.0502e-06
                      1,                 1.3837,                 2.6286,                 1.1522,                0.62635,                0.61053,                0.56659,                0.33606,                 1.2936,                 2.2573,                 1.1383,               0.033564,             1.4554e-05,             1.4554e-05
                      2,                 1.3808,                 1.9915,                 1.1368,                0.68746,                0.77122,                 0.7174,                0.44522,                 1.2943,                 1.4935,                 1.1308,              0.0002359,             1.9453e-05,             1.9453e-05
                      3,                 1.3625,                 1.5764,                 1.1247,                0.72347,                0.79811,                0.81455,                0.51319,                 1.2769,                 1.3329,                 1.1158,             1.7089e-05,             1.7089e-05,             1.7089e-05
                      4,                 1.3308,                 1.3902,                 1.1063,                0.79275,                0.79223,                0.87144,                0.54502,                 1.2716,                 1.2068,                 1.1158,             1.7089e-05,             1.7089e-05,             1.7089e-05
                      5,                  1.307,                 1.2842,                 1.1057,                0.87225,                0.79479,                 0.9021,                0.56314,                 1.2644,                 1.1357,                 1.1122,             1.4682e-05,             1.4682e-05,             1.4682e-05
                      6,                 1.3019,                 1.2143,                 1.1016,                0.90355,                0.80676,                0.91625,                0.57246,                 1.2563,                 1.0936,                 1.1073,             1.2276e-05,             1.2276e-05,             1.2276e-05
                      7,                 1.2962,                 1.1899,                 1.1017,                0.90013,                0.83108,                 0.9231,                0.57486,                 1.2534,                 1.0667,                 1.1048,             9.8692e-06,             9.8692e-06,             9.8692e-06
                      8,                 1.2866,                  1.167,                 1.0995,                0.90697,                0.83714,                0.92755,                 0.5804,                 1.2481,                 1.0527,                 1.1018,             7.4627e-06,             7.4627e-06,             7.4627e-06
                      9,                 1.2864,                 1.1577,                 1.0979,                0.90797,                0.84564,                0.93027,                0.58205,                 1.2477,                 1.0438,                  1.101,             5.0562e-06,             5.0562e-06,             5.0562e-06
