                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5375,                 1.8772,                 1.4567,                0.93272,                0.85388,                0.93547,                0.47258,                 1.6002,                  1.092,                 1.5393,               0.069197,               0.002314,               0.002314
                      1,                 1.2956,                0.95559,                 1.2808,                0.94021,                 0.8921,                0.95626,                0.57751,                 1.3286,                0.82068,                 1.2718,               0.037733,              0.0041835,              0.0041835
                      2,                  1.268,                0.89214,                 1.2339,                0.94195,                0.90877,                0.96597,                0.55816,                 1.4041,                0.78813,                 1.2962,              0.0058083,              0.0055918,              0.0055918
                      3,                 1.2356,                 0.8405,                 1.2052,                0.94613,                0.91464,                0.97109,                0.61943,                 1.2466,                0.69582,                 1.2076,              0.0049122,              0.0049122,              0.0049122
                      4,                 1.2289,                0.79946,                 1.1917,                0.94292,                0.92035,                0.97214,                0.61627,                 1.2692,                0.66632,                 1.1989,              0.0049122,              0.0049122,              0.0049122
                      5,                 1.1925,                 0.7576,                  1.172,                 0.9434,                0.92589,                0.97229,                0.62711,                 1.2292,                0.63226,                 1.1749,              0.0042204,              0.0042204,              0.0042204
                      6,                 1.1719,                0.72736,                 1.1582,                0.95062,                0.92308,                0.97349,                0.64194,                 1.1821,                0.62091,                  1.147,              0.0035287,              0.0035287,              0.0035287
                      7,                 1.1544,                0.70694,                 1.1476,                0.94751,                0.92742,                0.97477,                0.63053,                 1.2242,                0.60912,                 1.1698,              0.0028369,              0.0028369,              0.0028369
                      8,                 1.1424,                0.68794,                 1.1431,                0.95427,                0.92844,                0.97528,                0.64614,                 1.1896,                0.59777,                 1.1521,              0.0021451,              0.0021451,              0.0021451
                      9,                 1.1354,                0.68169,                 1.1372,                0.95017,                 0.9333,                 0.9771,                0.63647,                 1.2078,                0.58612,                 1.1561,              0.0014534,              0.0014534,              0.0014534
