                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.396,                 1.6083,                 1.3039,                0.92045,                0.86967,                0.94026,                0.56892,                 1.3407,                0.96693,                 1.2732,               0.070195,              0.0033117,              0.0033117
                      1,                  1.266,                0.82251,                 1.1731,                0.94112,                0.90272,                0.96562,                0.60784,                  1.274,                 0.7094,                 1.1931,               0.039537,              0.0059872,              0.0059872
                      2,                 1.2688,                0.79761,                  1.151,                0.92147,                 0.8735,                 0.9434,                0.60458,                 1.2734,                0.78864,                 1.1811,              0.0082191,              0.0080026,              0.0080026
                      3,                 1.2689,                0.78028,                 1.1415,                0.92384,                0.87727,                 0.9469,                0.61311,                 1.2294,                0.76448,                 1.1696,                0.00703,                0.00703,                0.00703
                      4,                 1.2485,                0.73728,                 1.1321,                0.91659,                0.85659,                0.93172,                0.61059,                 1.2459,                0.78554,                 1.1594,                0.00703,                0.00703,                0.00703
                      5,                 1.2213,                0.69014,                 1.1176,                0.94915,                0.89573,                0.96051,                0.63832,                 1.2044,                0.61732,                 1.1425,                0.00604,                0.00604,                0.00604
                      6,                 1.1945,                0.64517,                 1.1041,                0.94482,                0.90877,                 0.9666,                0.64552,                 1.1939,                0.58099,                 1.1345,                0.00505,                0.00505,                0.00505
                      7,                 1.1768,                0.62366,                 1.0971,                 0.9437,                0.92001,                0.97011,                0.64411,                 1.1774,                0.55615,                 1.1201,                0.00406,                0.00406,                0.00406
                      8,                 1.1511,                0.59328,                 1.0846,                0.95913,                0.92353,                0.97317,                0.66403,                 1.1546,                0.52465,                 1.1031,                0.00307,                0.00307,                0.00307
                      9,                 1.1372,                0.57213,                 1.0796,                0.95666,                0.93083,                0.97606,                0.67255,                 1.1447,                0.50285,                 1.1009,                0.00208,                0.00208,                0.00208
