                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.445,                 1.9137,                 1.3619,                0.93168,                0.86772,                0.94127,                0.56737,                 1.3368,                 1.0563,                 1.3248,               0.068274,              0.0013909,              0.0013909
                      1,                 1.2568,                0.90151,                 1.2319,                0.93515,                0.90033,                0.96159,                 0.6213,                 1.2219,                0.76501,                 1.2218,               0.036064,              0.0025146,              0.0025146
                      2,                 1.2398,                 0.8329,                 1.1928,                0.94923,                 0.9057,                0.96652,                0.63665,                 1.1933,                0.71494,                 1.1914,              0.0035776,              0.0033611,              0.0033611
                      3,                 1.2162,                0.79004,                 1.1733,                0.94422,                0.92146,                  0.971,                0.62564,                 1.2249,                0.67499,                 1.1956,              0.0029526,              0.0029526,              0.0029526
                      4,                  1.205,                0.75928,                 1.1585,                0.94878,                0.92282,                0.97261,                0.62284,                 1.2383,                0.65277,                  1.188,              0.0029526,              0.0029526,              0.0029526
                      5,                 1.1818,                0.72884,                 1.1391,                 0.9497,                0.92649,                0.97276,                0.63541,                  1.205,                0.63255,                 1.1666,              0.0025368,              0.0025368,              0.0025368
                      6,                 1.1681,                0.70741,                 1.1295,                0.95234,                0.92895,                0.97553,                0.64508,                 1.1842,                0.61121,                 1.1533,               0.002121,               0.002121,               0.002121
                      7,                 1.1603,                0.69037,                 1.1265,                0.95643,                0.92589,                0.97612,                0.63766,                 1.2061,                0.60493,                 1.1654,              0.0017052,              0.0017052,              0.0017052
                      8,                 1.1484,                0.67561,                  1.121,                0.95462,                0.93001,                0.97551,                0.64672,                 1.1773,                0.59248,                 1.1485,              0.0012894,              0.0012894,              0.0012894
                      9,                 1.1447,                0.67082,                 1.1158,                 0.9529,                0.93062,                0.97613,                0.64565,                  1.181,                0.58733,                  1.146,              0.0008736,              0.0008736,              0.0008736
